id,value,type
AFG,Afghanistan,name
ALA,land Islands,name
ALB,Albania,name
DZA,Algeria,name
ASM,American Samoa,name
AND,Andorra,name
AGO,Angola,name
AIA,Anguilla,name
ATA,Antarctica,name
ATG,Antigua and Barbuda,name
ARG,Argentina,name
ARM,Armenia,name
ABW,Aruba,name
AUS,Australia,name
AUT,Austria,name
AZE,Azerbaijan,name
BHS,Bahamas (the),name
BHR,Bahrain,name
BGD,Bangladesh,name
BRB,Barbados,name
BLR,Belarus,name
BEL,Belgium,name
BLZ,Belize,name
BEN,Benin,name
BMU,Bermuda,name
BTN,Bhutan,name
BOL,Bolivia (Plurinational State of),name
BES,"Bonaire, Sint Eustatius and Saba",name
BIH,Bosnia and Herzegovina,name
BWA,Botswana,name
BVT,Bouvet Island,name
BRA,Brazil,name
IOT,British Indian Ocean Territory (the),name
BRN,Brunei Darussalam,name
BGR,Bulgaria,name
BFA,Burkina Faso,name
BDI,Burundi,name
CPV,Cabo Verde,name
KHM,Cambodia,name
CMR,Cameroon,name
CAN,Canada,name
CYM,Cayman Islands (the),name
CAF,Central African Republic (the),name
TCD,Chad,name
CHL,Chile,name
CHN,China,name
CXR,Christmas Island,name
CCK,Cocos (Keeling) Islands (the),name
COL,Colombia,name
COM,Comoros (the),name
COD,Congo (the Democratic Republic of the),name
COG,Congo (the),name
COK,Cook Islands (the),name
CRI,Costa Rica,name
CIV,Cªte d'Ivoire,name
HRV,Croatia,name
CUB,Cuba,name
CUW,Curaao,name
CYP,Cyprus,name
CZE,Czechia,name
DNK,Denmark,name
DJI,Djibouti,name
DMA,Dominica,name
DOM,Dominican Republic (the),name
ECU,Ecuador,name
EGY,Egypt,name
SLV,El Salvador,name
GNQ,Equatorial Guinea,name
ERI,Eritrea,name
EST,Estonia,name
ETH,Ethiopia,name
FLK,Falkland Islands (the) [Malvinas],name
FRO,Faroe Islands (the),name
FJI,Fiji,name
FIN,Finland,name
FRA,France,name
GUF,French Guiana,name
PYF,French Polynesia,name
ATF,French Southern Territories (the),name
GAB,Gabon,name
GMB,Gambia (the),name
GEO,Georgia,name
DEU,Germany,name
GHA,Ghana,name
GIB,Gibraltar,name
GRC,Greece,name
GRL,Greenland,name
GRD,Grenada,name
GLP,Guadeloupe,name
GUM,Guam,name
GTM,Guatemala,name
GGY,Guernsey,name
GIN,Guinea,name
GNB,Guinea-Bissau,name
GUY,Guyana,name
HTI,Haiti,name
HMD,Heard Island and McDonald Islands,name
VAT,Holy See (the),name
HND,Honduras,name
HKG,Hong Kong,name
HUN,Hungary,name
ISL,Iceland,name
IND,India,name
IDN,Indonesia,name
IRN,Iran (Islamic Republic of),name
IRQ,Iraq,name
IRL,Ireland,name
IMN,Isle of Man,name
ISR,Israel,name
ITA,Italy,name
JAM,Jamaica,name
JPN,Japan,name
JEY,Jersey,name
JOR,Jordan,name
KAZ,Kazakhstan,name
KEN,Kenya,name
KIR,Kiribati,name
PRK,Korea (the Democratic People's Republic of),name
KOR,Korea (the Republic of),name
KWT,Kuwait,name
KGZ,Kyrgyzstan,name
LAO,Lao People's Democratic Republic (the),name
LVA,Latvia,name
LBN,Lebanon,name
LSO,Lesotho,name
LBR,Liberia,name
LBY,Libya,name
LIE,Liechtenstein,name
LTU,Lithuania,name
LUX,Luxembourg,name
MAC,Macao,name
MKD,Macedonia (the former Yugoslav Republic of),name
MDG,Madagascar,name
MWI,Malawi,name
MYS,Malaysia,name
MDV,Maldives,name
MLI,Mali,name
MLT,Malta,name
MHL,Marshall Islands (the),name
MTQ,Martinique,name
MRT,Mauritania,name
MUS,Mauritius,name
MYT,Mayotte,name
MEX,Mexico,name
FSM,Micronesia (Federated States of),name
MDA,Moldova (the Republic of),name
MCO,Monaco,name
MNG,Mongolia,name
MNE,Montenegro,name
MSR,Montserrat,name
MAR,Morocco,name
MOZ,Mozambique,name
MMR,Myanmar,name
NAM,Namibia,name
NRU,Nauru,name
NPL,Nepal,name
NLD,Netherlands (the),name
